Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
Sample_BkSQ.74_007.fq,0.0014126541060278687,0,0.005712532571851148,0,0.004457519003148201,0.17699585710606164,0.013255538452987414,0,0,0,0.038871046691959524,0,0.021416094447009888,0.06669358465806051,0.03617029542988903,0,0,0.009092636840886565,0,0.01609373502207007,0,0.6098285056700481,0,0.5663991007594567,0.8747837734879326
Sample_BkSQ.75_012.fq,0.0019084829258288489,0,0.005968851973942317,0.026126497893933738,0,0.1215475451492137,0.0065334160680048155,0.010539075169590194,0,0,0.039635161874680934,0.001623254539754078,0,0.37578346357202635,0.003398940014788704,0,0,0.008585179805738263,0,0.031265869243489244,0.02544192587990335,0.34164233588910536,0,0.39539408511402185,0.9615431125212534
Sample_BkSQ.77_004.fq,0.018520304758508337,0,0.009506181670759131,0,0,0.1195252918710648,0.025787290447781032,0,0,0,0.03855401113375322,0,0,0.11611657770021724,0.00521457967841154,0,0.0031577856008711473,0.0091190919192083,0,0.03579506736555735,0.01319281994985158,0.6055109979040163,0,0.6323749893458057,0.8071841115121257
Sample_BkSQ.78_004.fq,0,0,0.008008620286253673,0,0,0.15061427825409635,0.02311946059241606,0,0,0,0.031810408588996794,0,0.053525037442164726,0.3843270275419285,0,0,0.061130254492179216,0.08015767516102967,0,0,0.05695804165365883,0.15034919598727625,0,0.3280597692356414,0.973266631608577
Sample_BkSQ.79_005.fq,0.012292461871611662,0,0,0,0.024258695190748934,0.12801514453826981,0,0,0,0,0.049898632503716484,0,0,0.5448981153110523,0.051373525657955305,0.06341248382128062,0.008314035142874378,0,0,0.012583013081854616,0.01452041468124086,0.09043347819939497,0,0.21823547776449068,1.0662428863661082
Sample_BkSQ.84_004.fq,0.010487054486286368,0,0.0012395134649552688,0,0,0.1709472279741828,0,0,0,0,0,0.04294081396552239,0.05073374850418068,0.16064190087479033,0.010447067498450618,0.01472019492070051,0,0.08428434198363523,0,0.1758087624031189,0.13515050126610087,0.14259887265807608,0,0.4184217483359758,0.9133794162596517
Sample_BkSQ.86_006.fq,0.006424112133588147,0,0.008354768180574406,0,0,0.14915293535970683,0.019710942457556935,0,0,0,0.029761720750362444,0,0.08343985904914987,0.37586547761523675,0,0,0,0.05353542055824661,0,0.03628466541540086,0.029364401014688433,0.2081056974654887,0,0.3712347236561262,0.954088298782198
Sample_BkSQ.88_012.fq,0,0,0.009021527456924807,0,0,0.13130307858656556,0.00815588413435124,0,0,0,0,0.03269262128526607,0.19721000934465444,0.3554777316788128,0,0,0.05832886106024637,0.037162074385598515,0.03415145993660055,0,0.003509689972387156,0.13298706215859243,0,0.38077356419246944,0.9414617383319752
Sample_BkSQ.89_002.fq,0,0,0.01098712166072049,0.006657765752933712,0,0.14860640015670565,0.03064143026814446,0,0,0,0.03061965386925765,0,0,0.3011008232338226,0.010558906865576149,0.017550620805638913,0.0035914904560816734,0.0007,0,0,0.027594933849960444,0.41138340106873605,0,0.33959995427489903,1.0098223919852274
Sample_BkSQ.91_004.fq,0.0004,0,0,0,0,0.26619824350594823,0.03993686077440278,0,0,0,0.03884986621788977,0,0.0220895307149752,0.12353956567372498,0.0809837765274901,0,0.010882734213738691,0.020416685139285795,0,0,0.03520674214641002,0.36148057106302645,0,0.4456440884786441,0.9114504933082599
